"data_base" "V1" "modalidade" "origem" "porte" "cliente" "carteira_ativa" "carteira_inadimplida_arrastada" "ativo_problematico" "a_vencer_ate_90_dias" "a_vencer_de_91_ate_360_dias" "a_vencer_de_361_ate_1080_dias" "a_vencer_de_1081_ate_1800_dias" "a_vencer_de_1801_ate_5400_dias" "a_vencer_acima_de_5400_dias" "Taxa_de_juros_Selic_acumulada_no_mes" "Selic_fixada.pelo_Copom" "IBC_Br_indice"
2012-06-30 37 "PF - Empréstimo sem consignação em folha" "Sem destinação específica" "PF - Sem rendimento" "PF" 17909196888.86 1951533670.95 2823907049.13 2679849337.91 5225212052.38 6644729977.81 1259798621.87 136336581.99 258687.88 0.64 8.5 142.28
2012-06-30 38 "PF - Habitacional" "Com destinação específica" "PF - Acima de 20 salários mínimos" "PF" 174100347261.62 2192289356 10020976970.99 6026486141.42 15986505138.78 41986940259.08 39536040061.29 63143208144.96 7071509163.44 0.64 8.5 142.28
2012-06-30 39 "PF - Habitacional" "Com destinação específica" "PF - Até 1 salário mínimo" "PF" 1951771111.53 28756890.95 86638017.49 36080245.21 105144202.34 254727589.11 235719122.8 816943950.93 495620827.97 0.64 8.5 142.28
2012-06-30 40 "PF - Habitacional" "Com destinação específica" "PF - Indisponível" "PF" 791677330.29 80998376.01 147934488.27 28123230.48 90894184.88 221977792.87 85723876.49 283713749.42 33405420.53 0.64 8.5 142.28
2012-06-30 41 "PF - Habitacional" "Com destinação específica" "PF - Mais de 1 a 2 salários mínimos" "PF" 1099614772.64 22775757.86 49518815.36 24624506.89 70022321.75 157938947.17 135488274.08 431888159.44 274451862.61 0.64 8.5 142.28
2012-06-30 42 "PF - Habitacional" "Com destinação específica" "PF - Mais de 10 a 20 salários mínimos" "PF" 8408152750.95 67126656.33 157750200.68 185814857.84 469150147.03 1161445074.7 1043692125.54 3370687782.6 2164811423.82 0.64 8.5 142.28
2012-06-30 43 "PF - Habitacional" "Com destinação específica" "PF - Mais de 2 a 3 salários mínimos" "PF" 618971445.47 18159709.46 28610776.26 17494532.72 45276980.79 97623131.52 80761834.27 229039560.09 144519196.45 0.64 8.5 142.28
2012-06-30 44 "PF - Habitacional" "Com destinação específica" "PF - Mais de 3 a 5 salários mínimos" "PF" 1573473659.2 33069275.1 65911929.03 41617028.61 103348989.84 232761575.62 198092756.88 588296657.21 401440521.51 0.64 8.5 142.28
2012-06-30 45 "PF - Habitacional" "Com destinação específica" "PF - Mais de 5 a 10 salários mínimos" "PF" 5085180950.47 85863564.1 159348058.02 116708188.41 305207030.11 725314213.57 630472285.9 1966886676.1 1324602743.1 0.64 8.5 142.28
2012-06-30 46 "PF - Habitacional" "Com destinação específica" "PF - Sem rendimento" "PF" 8599463020.73 161389701.21 222925299.58 348974949.24 916479364 1896413862.08 1350258553.16 3066888123.44 1001048343.87 0.64 8.5 142.28
2012-06-30 47 "PF - Habitacional" "Sem destinação específica" "PF - Acima de 20 salários mínimos" "PF" 3326652926.44 23530671.97 129329132.8 119804003.35 299183573.1 660875747.3 421565765.13 1226820565.31 586491595 0.64 8.5 142.28
2012-06-30 48 "PF - Habitacional" "Sem destinação específica" "PF - Até 1 salário mínimo" "PF" 28950871.27 2830676.45 5216864.93 1169603.02 2502054.18 4200321.03 3498476.1 13074991.66 4194360.91 0.64 8.5 142.28
2012-06-30 49 "PF - Habitacional" "Sem destinação específica" "PF - Indisponível" "PF" 19909106.99 1820144.45 2204247.57 1220516.78 3441730.78 6887177.77 4159017.76 3834241.04 22768.09 0.64 8.5 142.28
2012-06-30 50 "PF - Habitacional" "Sem destinação específica" "PF - Mais de 1 a 2 salários mínimos" "PF" 113040339.06 4574009.12 9747374.64 11603485.21 13749329.42 30900332.38 19738028.15 27258164.12 8516227.52 0.64 8.5 142.28
2012-06-30 51 "PF - Habitacional" "Sem destinação específica" "PF - Mais de 10 a 20 salários mínimos" "PF" 2974196109.74 50991414.34 75726550.67 58716232.92 146073699.68 363719825.34 334536728.55 1338210144.28 729297611.61 0.64 8.5 142.28
2012-06-30 52 "PF - Habitacional" "Sem destinação específica" "PF - Mais de 2 a 3 salários mínimos" "PF" 109788007.79 2022272.76 8602456.82 2142000.76 5676924.42 13096726.73 11734420.28 51582685.38 25291154.57 0.64 8.5 142.28
2012-06-30 53 "PF - Habitacional" "Sem destinação específica" "PF - Mais de 3 a 5 salários mínimos" "PF" 482015309.83 15890703.85 37303875.75 22083346.8 45642952.14 90203674.88 61525253.42 175462765.09 82125659.4 0.64 8.5 142.28
2012-06-30 54 "PF - Habitacional" "Sem destinação específica" "PF - Mais de 5 a 10 salários mínimos" "PF" 1468564665.92 8624055.05 34969377.07 25426346.19 61798337.51 154081148.11 146990280.27 663615670.27 414345234.47 0.64 8.5 142.28
2012-06-30 55 "PF - Habitacional" "Sem destinação específica" "PF - Sem rendimento" "PF" 210670021.43 10846142.5 29920682.29 6633009.78 18652811.72 32985389.51 27369712.19 90947052.92 32101396.3 0.64 8.5 142.28
2012-06-30 56 "PF - Outros créditos" "Com destinação específica" "PF - Acima de 20 salários mínimos" "PF" 8415218829.84 1028048877.75 1501400847.39 618311805.93 1695267502.16 3623282850.59 1123142610.64 89787856.85 1180488.29 0.64 8.5 142.28
2012-06-30 57 "PF - Outros créditos" "Com destinação específica" "PF - Até 1 salário mínimo" "PF" 314282989.33 20090250.91 22891563.55 49780924.88 80332966.52 119166350.84 43958398.01 2480871.35 0 0.64 8.5 142.28
2012-06-30 58 "PF - Outros créditos" "Com destinação específica" "PF - Indisponível" "PF" 6054132.15 550902.86 737971.95 323223.14 982956.78 2037751.18 1126185.56 1480248.84 1387.86 0.64 8.5 142.28
2012-06-30 59 "PF - Outros créditos" "Com destinação específica" "PF - Mais de 1 a 2 salários mínimos" "PF" 149122732.1 7869411.01 10834053.96 21566098.76 41282994.14 55539108.66 20105138.38 3184727.07 955.23 0.64 8.5 142.28
2012-06-30 60 "PF - Outros créditos" "Com destinação específica" "PF - Mais de 10 a 20 salários mínimos" "PF" 415975629.46 10107990.75 15060265.24 29042054.68 86018605.05 189839330.6 81691658.92 26873049.35 581979.01 0.64 8.5 142.28
2012-06-30 61 "PF - Outros créditos" "Com destinação específica" "PF - Mais de 2 a 3 salários mínimos" "PF" 135348690.15 1641859.98 4342384.27 14329145.85 43092353.63 48559376.2 20815966.23 7185657.66 1414.75 0.64 8.5 142.28
2012-06-30 62 "PF - Outros créditos" "Com destinação específica" "PF - Mais de 3 a 5 salários mínimos" "PF" 211878682.48 3111906.41 5898961.89 35959331.92 51777463.81 83050513.32 33455316.05 5816190.39 7062.4 0.64 8.5 142.28
2012-06-30 63 "PF - Outros créditos" "Com destinação específica" "PF - Mais de 5 a 10 salários mínimos" "PF" 384038690.93 4628453.7 10433100.33 31965052.86 91371978.42 177654128.23 66198162.3 14937695.01 28598.14 0.64 8.5 142.28
2012-06-30 64 "PF - Outros créditos" "Com destinação específica" "PF - Sem rendimento" "PF" 1330456078.96 21622343.59 38146523.46 123315080.19 236551395.71 481840623.2 275958414.84 189426773.12 8582978.16 0.64 8.5 142.28
2012-06-30 65 "PF - Outros créditos" "Sem destinação específica" "PF - Acima de 20 salários mínimos" "PF" 19024801384.62 1137668490 2461523631.11 5551319275.44 6118224759.26 3994300504.56 1446350390.01 273341281.31 5865991.05 0.64 8.5 142.28
2012-06-30 66 "PF - Outros créditos" "Sem destinação específica" "PF - Até 1 salário mínimo" "PF" 4858116542.15 821745449.89 1693539903.38 1582690182.57 1507846795.65 882447429.07 127619850.95 7641202.83 533877.44 0.64 8.5 142.28
2012-06-30 67 "PF - Outros créditos" "Sem destinação específica" "PF - Indisponível" "PF" 29172872.15 8583536.91 12429578.9 4442665.11 7119300.06 6027129.07 1188120.84 1172283.59 98778.97 0.64 8.5 142.28
2012-06-30 68 "PF - Outros créditos" "Sem destinação específica" "PF - Mais de 1 a 2 salários mínimos" "PF" 4370473155.58 719279740.12 1569750207.46 1357594550.94 1242964705.39 941992414.61 136425279.6 16003089.6 9195543.03 0.64 8.5 142.28
2012-06-30 69 "PF - Outros créditos" "Sem destinação específica" "PF - Mais de 10 a 20 salários mínimos" "PF" 5168582247.67 428892965.52 1083037780.77 2026603172.91 1166223935.22 1120998694.13 316050996.24 159527789.78 13008348.35 0.64 8.5 142.28
2012-06-30 70 "PF - Outros créditos" "Sem destinação específica" "PF - Mais de 2 a 3 salários mínimos" "PF" 3249632955.73 435714950.3 975040656.3 1061557659.12 896626363.74 694385075.48 114766328.66 38850188.85 37290487.48 0.64 8.5 142.28
